# Synthetic data generated for this project from a fixed seed. Not market data and not a price history of any real security.
date,AAPL,MSFT,NVDA,SPY,TSLA
2018-01-02,41.6648,83.4496,47.6427,265.6799,21.4135
2018-01-03,42.0479,82.7836,47.1946,260.2959,22.4500
2018-01-04,43.0822,82.5201,49.5945,262.6435,24.2566
2018-01-05,42.3756,83.6193,46.6674,263.8286,23.2613
2018-01-08,42.3864,85.1732,44.3372,268.0622,22.9935
2018-01-09,41.6605,85.5965,44.8902,274.4432,23.0148
2018-01-10,42.0092,86.0159,42.4323,272.3713,23.4178
2018-01-11,41.4181,87.3970,41.3338,277.0513,25.1608
2018-01-12,42.7280,88.7893,43.2887,283.6843,25.7119
2018-01-15,43.6092,89.9718,45.1606,287.0234,26.8330
2018-01-16,43.1400,88.1369,43.6378,288.5519,27.2366
2018-01-17,44.5695,86.2949,45.7392,286.5921,26.1152
2018-01-18,45.5960,88.2490,44.0989,280.6914,27.7997
2018-01-19,45.0670,84.7816,43.8609,278.8862,25.6913
2018-01-22,47.2614,85.2782,44.5544,281.3998,26.5176
2018-01-23,48.3865,85.3739,45.2252,285.0872,25.0848
2018-01-24,47.0834,81.5518,47.8352,284.9800,25.3190
2018-01-25,47.0520,83.0963,45.5177,282.6527,23.8068
2018-01-26,45.7062,83.9448,45.5775,281.1280,23.9691
2018-01-29,46.3400,86.5539,47.0124,283.6027,22.8317
2018-01-30,46.1343,84.8612,47.6911,285.4321,23.6831
2018-01-31,46.0608,84.7862,48.6650,283.4890,23.9675
2018-02-01,45.7410,83.4142,46.4611,292.0297,23.3971
2018-02-02,44.6223,81.2893,44.6438,290.3371,24.5924
2018-02-05,44.7945,81.2936,45.0673,294.4237,24.9806
2018-02-06,46.0633,82.8301,47.2442,299.0883,25.9467
2018-02-07,45.0304,82.9837,46.2831,298.5359,25.5862
2018-02-08,44.6161,82.3329,48.4145,299.8937,27.6546
2018-02-09,44.1026,81.5283,48.8666,299.4750,27.3339
2018-02-12,42.6907,80.5016,47.0982,296.4285,28.0305
2018-02-13,43.0899,78.7424,49.0798,291.2115,27.7568
2018-02-14,43.8176,79.2637,52.4316,291.6008,28.1485
2018-02-15,44.0845,80.7774,54.8106,289.1707,26.4061
2018-02-16,43.5072,80.5639,54.5491,285.8687,26.4838
2018-02-19,43.2817,78.8871,56.2417,282.6576,25.9933
2018-02-20,44.2292,80.8858,53.8698,283.8032,25.2650
2018-02-21,43.1553,80.1043,54.2450,278.9027,26.0356
2018-02-22,42.9593,81.1583,53.8314,281.1147,24.8162
2018-02-23,43.3702,81.3291,53.1609,280.3255,24.7182
2018-02-26,44.1331,80.7614,51.9930,279.0160,24.4986
2018-02-27,43.3245,79.0502,48.7788,271.5555,25.8686
2018-02-28,44.1320,81.9649,52.0902,270.3449,27.1350
2018-03-01,44.7322,82.1279,52.0446,268.4994,27.5584
2018-03-02,44.1510,81.5870,51.1229,268.4186,26.4907
2018-03-05,44.3916,81.8363,51.9387,267.2243,26.4342
2018-03-06,46.0195,82.3789,52.0091,270.6852,26.9401
2018-03-07,45.8002,84.6689,49.2715,275.1138,27.6440
2018-03-08,45.6774,82.8001,48.7329,276.3606,27.1102
2018-03-09,45.7197,83.9972,48.6585,280.4184,26.5962
2018-03-12,45.9654,82.5976,48.8541,276.3038,26.7559
2018-03-13,46.9520,81.3734,49.0238,272.6891,26.2507
2018-03-14,47.8858,81.9760,49.2183,275.9093,24.9173
2018-03-15,48.3459,83.2972,49.3037,275.4752,26.2517
2018-03-16,48.4567,85.0219,49.2318,277.5843,26.0091
2018-03-19,48.7587,85.8185,50.0888,278.0236,27.3257
2018-03-20,48.6146,86.2210,50.3784,273.8488,25.8735
2018-03-21,48.6872,85.4821,50.1037,273.4886,26.3131
2018-03-22,49.9817,87.1410,51.1486,280.3485,25.6326
2018-03-23,47.9723,85.4375,51.2457,275.8377,24.9653
2018-03-26,47.6356,85.6834,54.4463,281.2189,25.1465
2018-03-27,46.9376,88.2369,58.4946,278.8521,25.4986
2018-03-28,46.8463,87.1266,59.5190,278.3432,26.0356
2018-03-29,45.9902,85.6258,62.1375,282.0156,27.5069
2018-03-30,46.8254,85.2648,63.1232,281.8732,28.5909
2018-04-02,48.6402,88.6448,66.5607,281.7239,29.2979
2018-04-03,48.6030,90.0897,67.7320,280.2508,28.1208
2018-04-04,48.5288,89.1568,68.9264,279.9187,28.8317
2018-04-05,49.2274,88.1568,72.9751,277.6596,28.9796
2018-04-06,48.6369,86.3471,73.2612,274.3956,27.8114
2018-04-09,48.2268,84.3997,70.1266,275.1425,26.5656
2018-04-10,47.8312,85.1669,67.1385,276.0539,26.7709
2018-04-11,47.9966,84.8540,67.6708,279.1242,27.7468
2018-04-12,48.0342,85.7286,67.3578,282.3809,28.3556
2018-04-13,48.7882,88.4301,70.7734,281.4687,27.1491
2018-04-16,48.2517,89.1804,72.5602,283.7176,26.0398
2018-04-17,47.3491,88.4807,72.3971,281.7925,24.9814
2018-04-18,45.6936,88.0559,68.7036,283.8166,24.6657
