# Synthetic data generated for this project from a fixed seed. Not market data and not a price history of any real security.
# Forty variants of pure noise. No variant has an edge by construction.
date,sma_3_30,sma_5_30,sma_8_30,sma_10_30,sma_13_30,sma_15_30,sma_20_30,sma_25_30,sma_3_60,sma_5_60,sma_8_60,sma_10_60,sma_13_60,sma_15_60,sma_20_60,sma_25_60,sma_3_90,sma_5_90,sma_8_90,sma_10_90,sma_13_90,sma_15_90,sma_20_90,sma_25_90,sma_3_120,sma_5_120,sma_8_120,sma_10_120,sma_13_120,sma_15_120,sma_20_120,sma_25_120,sma_3_150,sma_5_150,sma_8_150,sma_10_150,sma_13_150,sma_15_150,sma_20_150,sma_25_150
2021-01-04,-0.01327534,0.00144494,-0.00254097,-0.00576636,0.00320471,0.01021218,-0.00011844,-0.01298832,0.00450388,-0.00506571,0.01095686,-0.00369603,0.00775647,-0.01278695,0.01882568,-0.00885285,-0.00631806,0.00388526,0.02574779,-0.00072019,0.00237521,-0.02465552,0.01008174,-0.00340301,0.00755589,0.01913729,-0.01828592,-0.00370865,0.01337807,0.01541418,0.00412484,-0.01088304,-0.00892946,-0.00824143,0.00240249,0.00542602,0.00194636,0.00167441,0.00393955,-0.00868396
2021-01-05,0.00033155,-0.02209780,-0.00928176,0.00835213,0.00536429,0.01409823,-0.01758538,0.00848494,-0.01156609,0.00747489,-0.02229464,-0.00841476,-0.00406825,-0.01852718,-0.01154571,0.02134561,0.01124743,0.00395407,-0.00461320,-0.00543042,-0.00534498,0.02776197,0.00528329,0.00821806,-0.00448574,0.00114134,0.00639029,-0.00346407,0.00206389,-0.00081379,-0.00127745,-0.00638478,0.00679487,0.00050543,0.01083323,0.00420416,-0.00946225,0.00445644,0.00418435,0.01278638
2021-01-06,0.00311037,0.00545988,0.01539440,0.01203805,-0.00143199,0.01815774,-0.00234093,-0.00097519,0.01159520,0.00045397,-0.01726397,0.00023446,0.00220925,0.01714911,-0.00474998,-0.01224237,0.01420363,0.00373433,0.01172584,0.00082012,0.00149171,0.00180477,0.00040607,-0.00653030,0.00737250,-0.00903892,-0.01187141,-0.00168513,0.02209146,-0.02964028,-0.01223115,-0.02415060,0.00247741,-0.00654792,-0.01948846,0.00834803,-0.01367738,0.02431503,0.00559782,0.00694969
2021-01-07,-0.00332990,0.00921372,0.00297588,-0.01505027,-0.00470443,-0.01042104,-0.00383674,-0.00640087,-0.00430086,-0.00127113,-0.01112869,0.00948680,-0.02228688,-0.01080042,-0.01964981,0.00587242,-0.00637799,0.00130496,-0.01048466,0.00343432,0.00318145,0.00239845,0.01208979,0.01078604,-0.00645040,-0.02066406,-0.01532850,0.00749577,-0.00597400,0.00555921,-0.01864576,0.00281550,-0.00509957,-0.00448535,-0.00740918,-0.00615293,0.00578390,0.01357696,0.00422083,0.01088402
2021-01-08,0.00764040,-0.00806920,-0.01116575,0.00754628,0.01032740,0.02457673,0.00585728,-0.00477692,0.00003264,0.01288990,-0.00163100,0.00161413,-0.03444197,-0.01635292,0.02696692,-0.00446461,-0.00382053,-0.00642700,0.00173959,-0.00721473,-0.01036826,-0.00701083,-0.00429388,0.01321815,0.00317788,0.00124821,0.00337867,0.01361889,0.01022685,0.00486932,-0.00961286,-0.01132298,0.00884486,0.00350292,0.02181865,-0.00240566,0.00796433,-0.00103781,-0.00123420,-0.00032277
2021-01-11,0.00045295,0.00107559,-0.01411474,-0.00571350,-0.00127303,0.01383846,0.00660637,-0.00675624,0.01264024,0.00788698,-0.00937865,0.01331258,-0.02190514,0.00042838,0.01666406,-0.01077149,-0.00054202,0.01745833,0.00003998,0.00375665,0.00617125,0.02117493,-0.01098562,-0.01424894,0.02109419,0.00294229,-0.01301958,0.00037921,0.01155326,-0.00046189,0.01245799,-0.00796496,0.00213387,-0.02461131,-0.00348786,-0.01177405,0.01931008,0.00739819,0.01049515,0.00315104
2021-01-12,-0.00927640,-0.00774047,-0.00433742,-0.00510960,-0.00465484,0.02003910,-0.01063889,-0.00777871,-0.01275502,0.00698340,-0.00583181,-0.01141375,0.02135305,0.00147359,0.00447728,0.01048645,0.00786322,-0.00059082,-0.00030762,0.00289224,0.00218158,-0.00979875,0.00525050,-0.00623435,0.01098572,0.01902539,0.00785574,0.01261491,0.00579213,-0.00166860,-0.03231643,-0.02264233,-0.00703896,-0.00645775,0.01196718,-0.00764686,-0.00734011,-0.01038348,-0.01371402,0.00157182
2021-01-13,0.02428633,-0.00852628,-0.00132616,0.00901085,-0.00392556,-0.00827560,0.00453081,0.00016032,0.00012453,-0.01410600,0.00000742,-0.00044485,-0.00201539,0.00784657,-0.00266419,-0.01356662,0.00207295,-0.01112703,-0.00923805,-0.00260656,-0.02017678,0.01055206,-0.00660109,0.00610167,-0.00251473,0.00678667,-0.01474105,0.00138296,0.01263329,-0.01535864,0.01028357,0.00592309,-0.00231416,0.01235922,0.00205450,-0.01232527,0.00564129,-0.00733779,0.00318853,-0.00682543
2021-01-14,-0.01882858,-0.00566405,0.00623305,-0.01654600,0.01622850,0.00106567,0.00799558,0.00525939,0.00994380,-0.00399847,-0.01332722,-0.01062161,0.00463192,-0.00652463,0.00399222,0.00086807,0.01125977,-0.00803529,-0.02007417,0.01131568,0.00091992,-0.02049906,-0.00454494,0.02411845,-0.01580100,0.01228698,-0.00316600,-0.01968122,0.00028791,0.00251848,0.01169082,-0.00774431,0.01653189,0.00370703,-0.01812263,0.00368810,-0.01097414,-0.00651327,-0.00123001,0.00470033
2021-01-15,0.00936142,-0.00513479,0.01290412,-0.00505214,-0.00281756,-0.00057939,-0.01544504,-0.02231664,0.00869275,0.00017467,0.01199520,0.01307808,-0.01670402,0.00794605,0.00106697,-0.02024466,0.00640689,0.01433983,0.01622718,0.01190481,0.00894552,-0.01435223,0.01070060,0.00170169,-0.01580945,0.04031743,0.00147184,0.00767895,0.00041124,0.00610728,-0.00889245,-0.00138886,-0.00398553,-0.00373653,-0.00859868,0.03212704,-0.00724488,0.00227974,0.02101100,-0.00962782
2021-01-18,0.02536451,-0.01148470,0.00362705,-0.00114743,-0.01041085,-0.00234385,-0.00986563,-0.00446354,-0.00483884,-0.00422674,-0.01784191,-0.00287199,-0.00378251,0.00993762,-0.00135380,-0.00248214,0.00569895,-0.01348605,-0.00606826,0.01022969,-0.00315917,-0.00230105,0.00387057,0.00022535,-0.00913667,-0.00413208,0.00705127,-0.00103978,-0.01148016,-0.01111646,0.00143498,-0.00088726,-0.00283795,0.01030722,-0.02144492,-0.01481845,0.01865367,-0.01764313,-0.00521407,-0.00666230
2021-01-19,-0.00362948,0.00794902,0.00234595,-0.00735147,0.00356752,0.00782478,-0.00589498,0.00251996,-0.00828886,0.00720394,0.00378178,0.01168362,-0.02050546,-0.00780320,0.01205323,0.00395637,-0.01008002,-0.00586099,0.00509834,-0.00293366,0.00909480,-0.00249542,0.00964349,0.00847130,0.00055737,0.00329013,0.00488418,0.00193450,-0.01201747,-0.00684854,0.01147334,-0.03565424,-0.00422528,-0.00186277,0.00206941,0.01801114,0.00895684,-0.00996045,0.00272214,0.00394296
2021-01-20,-0.01510459,-0.00219863,0.00183050,0.00438483,-0.01010216,0.00287180,-0.00539141,-0.00360636,-0.01026923,-0.02384749,0.00046587,-0.00451519,-0.00810610,-0.01658949,0.00931509,0.00436448,-0.00152633,0.01002259,-0.02362859,0.02271212,-0.00477833,-0.00238257,-0.01142428,0.00175643,-0.01018002,-0.00768098,-0.00601959,-0.00935051,-0.01050451,0.00754904,-0.00958215,-0.00797941,-0.00009234,0.00393068,-0.00017489,-0.01611819,0.00671188,0.00422536,0.00800857,-0.00604612
2021-01-21,0.00870100,0.01068781,-0.00886166,-0.01705460,0.01374114,0.00137797,0.01762239,-0.00085329,-0.01871701,-0.00808720,-0.00674563,-0.00292531,0.00055636,-0.01064106,-0.00833264,-0.00137490,-0.00697222,0.00188426,-0.00993215,0.02301740,0.01499097,0.00228428,-0.01110256,-0.00098063,0.00184342,-0.01311227,0.00711067,-0.00608339,-0.01195066,-0.01067952,-0.00384026,0.01536034,-0.00797848,0.01005405,0.01160169,-0.00825976,0.00713817,0.00548536,-0.00301508,0.00765594
2021-01-22,-0.00584587,-0.00794554,-0.01819173,-0.00468223,-0.00397229,-0.00057337,0.01152293,-0.01994338,0.00131458,-0.01101824,-0.01978405,0.01801627,-0.01543083,0.00663356,-0.00726220,0.00634296,-0.00265363,0.01542631,-0.01112882,-0.00582232,-0.00147840,0.01888034,-0.00376469,0.00297291,-0.00787469,0.01272728,0.00662738,0.02535933,0.01545547,0.01221595,-0.00020477,0.01305036,0.01532431,-0.01119062,0.00935891,-0.00983959,0.00829428,-0.00573747,-0.01395813,-0.00552425
2021-01-25,-0.02918978,0.00727712,0.01854213,0.01509036,0.02503351,0.00785165,0.00283286,-0.00925478,0.01163110,-0.00045270,-0.00498489,-0.01630986,-0.01090887,0.00784039,-0.00606621,-0.00330175,0.00445615,0.01446698,0.00898068,-0.01753232,0.02325407,0.00280985,0.01288730,0.00893697,-0.01015922,0.00877966,-0.02605353,-0.00644471,0.00384625,-0.01463431,0.01488823,-0.01738462,-0.01724553,-0.03000343,-0.00155666,-0.01814772,-0.00011748,-0.02539923,-0.01434624,-0.00086446
