# Synthetic data generated for this project from a fixed seed. Not market data and not a price history of any real security.
# Variant index 13 carries a planted daily mean of 0.00095; the rest are noise.
date,sma_3_30,sma_5_30,sma_8_30,sma_10_30,sma_13_30,sma_15_30,sma_20_30,sma_25_30,sma_3_60,sma_5_60,sma_8_60,sma_10_60,sma_13_60,sma_15_60,sma_20_60,sma_25_60,sma_3_90,sma_5_90,sma_8_90,sma_10_90,sma_13_90,sma_15_90,sma_20_90,sma_25_90,sma_3_120,sma_5_120,sma_8_120,sma_10_120,sma_13_120,sma_15_120,sma_20_120,sma_25_120,sma_3_150,sma_5_150,sma_8_150,sma_10_150,sma_13_150,sma_15_150,sma_20_150,sma_25_150
2021-01-04,0.00117704,-0.01794877,0.01453976,0.00090955,-0.01294468,0.01271984,0.01079324,-0.01595256,0.01220718,-0.00673009,-0.01076736,0.00806861,-0.00809548,-0.01524539,-0.00665045,-0.00486683,-0.00045705,-0.00894740,0.00219877,0.00336438,-0.00046153,-0.00048618,-0.02846499,0.00214908,-0.01127898,-0.01819167,-0.00206360,-0.01891783,0.00133695,0.01926201,0.01273890,-0.00419238,-0.01514210,0.00154303,-0.00433527,0.00899300,-0.00947219,-0.00824226,-0.00685512,0.01241550
2021-01-05,0.01159222,-0.00279258,0.00803569,-0.00613774,0.00268622,-0.01143041,0.00181971,-0.00339071,0.00303582,-0.00159850,-0.00419799,0.01317513,-0.00731406,-0.01633600,0.00400098,-0.01008994,-0.00408945,0.00424035,-0.00656556,-0.00723623,-0.00022433,0.01413236,-0.01697110,0.00645975,0.00488261,0.00331797,0.00143302,-0.01636038,-0.00244371,-0.00769422,0.00158852,-0.00167163,-0.01299414,-0.01340913,-0.01125657,0.01309795,0.01399376,0.01293445,0.00491750,0.00466835
2021-01-06,0.00750681,0.01051327,0.00204709,0.01099918,0.01079427,-0.00865597,-0.01166833,-0.00262764,-0.00317981,0.00284509,0.01660207,-0.00296137,0.02603810,-0.00940699,0.00197004,-0.01560515,-0.00740913,0.00320507,0.01177496,0.01017291,-0.01041913,0.00178893,0.02135498,-0.01776045,-0.01540997,0.00023052,-0.00507065,-0.00430855,-0.00745988,0.00684551,0.00238132,-0.00384131,0.01329882,-0.02731567,0.00624357,-0.00644987,-0.00395167,-0.00690514,-0.00003521,-0.01131044
2021-01-07,-0.00257132,0.00324909,0.00007506,0.00512627,-0.00215537,-0.00128143,-0.00710424,-0.01246796,-0.00607430,0.00037154,-0.00038987,0.00032147,-0.00302410,-0.00318710,-0.00760851,0.00028758,-0.00942561,-0.00504252,-0.00968624,0.01081367,-0.00025481,0.00092273,0.00716971,-0.00472699,0.01220108,-0.00363531,0.01342661,-0.01353376,0.00697699,-0.00826623,0.00699368,-0.00520269,0.00576334,-0.00914049,-0.01258203,0.01231827,0.01788835,0.00111411,-0.00632494,-0.01321416
2021-01-08,-0.00955331,-0.00274858,0.00322709,-0.01521415,-0.01495887,0.01363155,-0.00043076,0.00541594,-0.00665068,0.00504395,-0.01019509,-0.01392605,-0.00540963,0.00067387,0.00041183,-0.00177869,0.00308509,0.00262527,-0.00137656,-0.00554414,-0.01405697,0.01076392,-0.00646622,0.00248853,0.00125192,-0.00792588,-0.02371924,0.01172020,0.00951983,0.02253069,-0.00897698,0.00639961,0.00276394,-0.01611276,-0.00245481,-0.00097743,-0.00940324,0.01085060,0.01379902,-0.00713789
2021-01-11,0.00244958,-0.00592455,-0.01671713,-0.00299834,0.00176702,-0.01876526,-0.00879028,-0.00539475,0.00330932,-0.00140987,0.00088645,0.00157610,0.01033051,0.01482393,-0.00297770,0.00292779,-0.01079273,-0.01287814,0.00440513,-0.01041107,-0.00963112,-0.01020686,-0.00396399,-0.00295806,-0.00978712,0.01370024,-0.00149019,-0.01568027,0.00146307,0.01725088,0.01044388,0.01172128,0.00365898,-0.00931435,0.01568110,-0.01063937,0.01035426,0.02460477,0.02056237,-0.00084828
2021-01-12,0.00263576,0.01675783,0.01038604,0.01033436,-0.01835566,-0.00697871,0.01287267,0.00193306,-0.00978554,-0.02807478,-0.01283313,-0.00619789,0.00163484,0.00031456,-0.01466732,0.00288324,-0.00298021,0.01975686,0.01272175,0.00431206,-0.00109311,-0.01061400,0.00797206,0.00924038,-0.01178893,-0.00072552,0.01588583,-0.00117025,-0.00768520,-0.00491111,0.02260452,-0.00402777,-0.01286984,0.00661444,-0.00056839,0.00273819,-0.00187841,-0.00764933,0.03360004,-0.01476626
2021-01-13,-0.00803480,0.00546594,0.02106902,-0.00467297,0.01395222,-0.00757383,-0.00215887,-0.00016049,-0.00172546,0.01588873,-0.00967609,0.00314879,0.00913196,-0.00617932,-0.00608537,-0.00219117,0.00975257,0.01624198,-0.01015470,-0.00173714,-0.00174761,0.00415011,0.01114638,-0.00576680,-0.00769079,0.01361106,-0.01082745,-0.00204978,0.00124884,0.00597047,-0.00741078,-0.00418360,-0.00203693,-0.00196617,0.00912763,-0.01453204,0.01352722,0.00549548,0.00266750,0.00570879
2021-01-14,0.01882052,0.00291932,0.02866732,0.01378200,0.00367023,-0.01019058,-0.02025801,0.00534650,0.01265071,-0.02150883,-0.01284070,-0.00146111,-0.00160913,-0.00104931,-0.01714657,-0.01780187,-0.02426596,-0.00743898,0.00845391,0.01959033,-0.00808309,-0.01363423,0.00565693,0.01307377,0.01833454,0.00322347,-0.00094347,-0.02490309,-0.01261788,-0.01188618,-0.01696008,0.00284861,-0.00810834,-0.01356300,-0.01907873,0.00632692,0.00385396,0.01099957,-0.00566183,0.00240044
2021-01-15,0.00675773,0.00648919,-0.03007726,0.02628351,-0.00245950,-0.01414399,-0.00971798,-0.00456808,0.00396347,0.01854325,-0.02212640,-0.00220701,0.00406732,-0.01128164,0.00684681,-0.00561424,0.00548580,0.00324411,0.01042654,-0.00681987,-0.02914219,-0.01876560,0.00514951,0.00489065,-0.00387845,0.00326133,-0.00619594,0.00322625,0.01098421,-0.01004889,0.00017143,0.00012998,-0.01128489,0.00657439,0.02105792,-0.00286568,0.02144547,0.00425757,0.00120633,0.00844434
