time,battery_v,bus_current_a,panel_temp_c,rw1_rpm,rw1_current_a,rw1_temp_c,heater_on,eclipse
2026-02-01T00:00:00Z,28.384,4.123,18.38,3205.2,0.4232,21.04,0,0
2026-02-01T00:01:00Z,28.405,4.093,18.86,3196.1,0.4213,21.07,0,0
2026-02-01T00:02:00Z,28.41,4.089,17.8,3196.2,0.404,20.93,0,0
2026-02-01T00:03:00Z,28.396,4.043,18.13,3193.6,0.4168,20.95,0,0
2026-02-01T00:04:00Z,28.429,4.132,18.29,3199.4,0.422,20.89,0,0
2026-02-01T00:05:00Z,28.36,4.119,18.34,3202.7,0.4207,21.01,0,0
2026-02-01T00:06:00Z,28.41,4.116,18.26,3200.5,0.4167,21.19,0,0
2026-02-01T00:07:00Z,28.407,4.057,17.76,3206.1,0.4204,20.71,0,0
2026-02-01T00:08:00Z,28.386,4.114,17.9,3195.4,0.4127,21.0,0,0
2026-02-01T00:09:00Z,28.385,4.104,17.85,3198.4,0.4182,20.93,0,0
2026-02-01T00:10:00Z,28.4,4.126,18.26,3201.1,0.4248,20.96,0,0
2026-02-01T00:11:00Z,28.425,4.073,18.44,3206.6,0.4318,21.02,0,0
2026-02-01T00:12:00Z,28.4,4.119,18.89,3195.7,0.42,20.97,0,0
2026-02-01T00:13:00Z,28.388,4.072,17.54,3209.2,0.4188,20.9,0,0
2026-02-01T00:14:00Z,28.378,4.141,17.78,3187.2,0.4249,20.93,0,0
2026-02-01T00:15:00Z,28.433,4.144,17.91,3197.1,0.4232,21.0,0,0
2026-02-01T00:16:00Z,28.452,4.091,18.98,3201.3,0.4239,21.03,0,0
2026-02-01T00:17:00Z,28.404,4.129,18.02,3192.6,0.4126,20.72,0,0
2026-02-01T00:18:00Z,28.399,4.133,17.48,3190.7,0.4169,20.85,0,0
2026-02-01T00:19:00Z,28.355,4.094,18.12,3196.0,0.4259,21.0,0,0
2026-02-01T00:20:00Z,28.392,4.131,18.15,3204.6,0.421,21.15,0,0
2026-02-01T00:21:00Z,28.376,4.129,18.27,3197.1,0.4244,20.98,0,0
2026-02-01T00:22:00Z,28.392,4.136,18.63,3201.4,0.408,21.21,0,0
2026-02-01T00:23:00Z,28.406,4.105,17.82,3205.0,0.4271,21.29,0,0
2026-02-01T00:24:00Z,28.424,4.132,17.86,3199.5,0.4221,21.13,0,0
2026-02-01T00:25:00Z,28.382,4.124,17.68,3207.2,0.4212,20.99,0,0
2026-02-01T00:26:00Z,28.388,4.101,18.74,3202.5,0.4187,20.85,0,0
2026-02-01T00:27:00Z,28.351,4.064,17.75,3202.6,0.4118,20.86,0,0
2026-02-01T00:28:00Z,28.348,4.15,17.94,3193.3,0.4233,20.95,0,0
2026-02-01T00:29:00Z,28.409,4.078,18.23,3198.3,0.4241,20.95,0,0
2026-02-01T00:30:00Z,28.337,4.062,18.12,3188.2,0.4245,21.09,0,0
2026-02-01T00:31:00Z,28.406,4.158,17.42,3192.1,0.4231,20.99,0,0
2026-02-01T00:32:00Z,28.398,4.092,18.02,3197.9,0.4225,21.2,0,0
2026-02-01T00:33:00Z,28.418,4.083,18.24,3198.2,0.4202,21.1,0,0
2026-02-01T00:34:00Z,28.39,4.11,18.46,3196.3,0.4216,21.16,0,0
2026-02-01T00:35:00Z,28.431,4.13,17.84,3197.6,0.4222,20.78,0,0
2026-02-01T00:36:00Z,28.393,4.12,17.67,3193.8,0.4189,20.94,0,0
2026-02-01T00:37:00Z,28.408,4.125,17.62,3186.8,0.4232,21.21,0,0
2026-02-01T00:38:00Z,28.392,4.066,18.09,3201.6,0.4281,20.76,0,0
2026-02-01T00:39:00Z,28.369,4.087,18.32,3213.1,0.4168,21.07,0,0
2026-02-01T00:40:00Z,28.381,4.127,17.87,3204.9,0.4276,21.17,0,0
2026-02-01T00:41:00Z,28.403,4.09,18.02,3201.8,0.4175,21.05,0,0
2026-02-01T00:42:00Z,28.409,4.106,17.82,3201.6,0.4282,21.07,0,0
2026-02-01T00:43:00Z,28.407,4.166,18.02,3184.5,0.4346,21.13,0,0
2026-02-01T00:44:00Z,28.383,4.134,17.87,3204.5,0.414,21.3,0,0
2026-02-01T00:45:00Z,28.407,4.152,17.93,3214.0,0.4238,20.99,0,0
2026-02-01T00:46:00Z,28.391,4.117,18.01,3193.7,0.4217,21.06,0,0
2026-02-01T00:47:00Z,28.421,4.091,19.09,3201.5,0.4145,21.03,0,0
2026-02-01T00:48:00Z,28.392,4.068,17.6,3207.8,0.4146,21.24,0,0
2026-02-01T00:49:00Z,28.389,4.083,17.98,3202.6,0.4205,20.91,0,0
2026-02-01T00:50:00Z,28.419,4.098,17.81,3199.5,0.4288,21.06,0,0
2026-02-01T00:51:00Z,28.438,4.118,19.1,3201.4,0.4287,21.17,0,0
2026-02-01T00:52:00Z,28.416,4.045,17.94,3195.2,0.4216,21.0,0,0
2026-02-01T00:53:00Z,28.423,4.055,17.93,3210.1,0.4326,20.76,0,0
2026-02-01T00:54:00Z,28.391,4.069,18.86,3206.2,0.4192,21.03,0,0
2026-02-01T00:55:00Z,28.413,4.108,18.03,3190.0,0.4098,21.07,0,0
2026-02-01T00:56:00Z,28.381,4.091,17.79,3191.2,0.4138,20.72,0,0
2026-02-01T00:57:00Z,28.444,4.109,18.02,3186.4,0.4063,21.06,0,0
2026-02-01T00:58:00Z,28.415,4.122,18.41,3203.8,0.4174,21.03,0,0
2026-02-01T00:59:00Z,28.377,4.084,17.88,3186.5,0.4242,20.88,0,0
2026-02-01T01:00:00Z,28.38,4.097,18.46,3194.9,0.4233,21.0,0,0
2026-02-01T01:01:00Z,27.679,4.352,-8.02,3211.1,0.4221,21.09,1,1
2026-02-01T01:02:00Z,27.715,4.407,-8.55,3190.9,0.4161,21.27,1,1
2026-02-01T01:03:00Z,27.687,4.442,-7.33,3201.2,0.4143,20.79,1,1
2026-02-01T01:04:00Z,27.689,4.418,-7.75,3194.7,0.421,21.08,1,1
2026-02-01T01:05:00Z,27.679,4.427,-8.86,3197.7,0.4181,20.9,1,1
2026-02-01T01:06:00Z,27.718,4.375,-7.98,3206.4,0.4205,20.87,1,1
2026-02-01T01:07:00Z,27.678,4.422,-7.88,3206.3,0.4125,20.94,1,1
2026-02-01T01:08:00Z,27.713,4.393,-8.12,3188.3,0.424,20.93,1,1
2026-02-01T01:09:00Z,27.707,4.44,-7.89,3208.4,0.432,21.03,1,1
2026-02-01T01:10:00Z,27.695,4.423,-7.93,3197.1,0.4194,21.22,1,1
2026-02-01T01:11:00Z,27.722,4.371,-7.87,3205.5,0.4156,20.87,1,1
2026-02-01T01:12:00Z,27.73,4.395,-8.25,3196.4,0.4272,21.15,1,1
2026-02-01T01:13:00Z,27.71,4.416,-7.27,3202.5,0.4253,20.86,1,1
2026-02-01T01:14:00Z,27.686,4.425,-8.35,3200.0,0.4151,20.96,1,1
2026-02-01T01:15:00Z,27.668,4.42,-8.06,3197.7,0.4159,20.66,1,1
2026-02-01T01:16:00Z,27.69,4.417,-7.65,3198.3,0.4178,20.99,1,1
2026-02-01T01:17:00Z,27.673,4.37,-8.16,3197.5,0.419,21.27,1,1
2026-02-01T01:18:00Z,27.707,4.382,-8.25,3201.3,0.4118,20.8,1,1
2026-02-01T01:19:00Z,27.698,4.425,-8.15,3198.2,0.4221,20.76,1,1
2026-02-01T01:20:00Z,27.7,4.379,-7.44,3205.2,0.4125,21.06,1,1
2026-02-01T01:21:00Z,27.689,4.386,-7.81,3218.6,0.4248,20.97,1,1
2026-02-01T01:22:00Z,27.727,4.426,-7.6,3204.8,0.4214,20.74,1,1
2026-02-01T01:23:00Z,27.693,4.417,-8.37,3205.9,0.4104,20.99,1,1
2026-02-01T01:24:00Z,27.742,4.396,-8.0,3195.8,0.4141,20.99,1,1
2026-02-01T01:25:00Z,27.725,4.38,-7.57,3206.9,0.4239,20.98,1,1
2026-02-01T01:26:00Z,27.687,4.402,-7.86,3196.1,0.4139,21.13,1,1
2026-02-01T01:27:00Z,27.703,4.405,-8.05,3203.7,0.4148,20.99,1,1
2026-02-01T01:28:00Z,27.702,4.384,-8.12,3203.3,0.4188,20.86,1,1
2026-02-01T01:29:00Z,27.72,4.445,-8.86,3206.6,0.4255,21.08,1,1
2026-02-01T01:30:00Z,27.707,4.414,-8.02,3207.9,0.4337,21.21,1,1
2026-02-01T01:31:00Z,27.722,4.387,-7.7,3206.3,0.4197,21.03,1,1
2026-02-01T01:32:00Z,27.736,4.407,-8.06,3204.2,0.4154,21.2,1,1
2026-02-01T01:33:00Z,27.715,4.372,-7.78,3202.2,0.4163,20.72,1,1
2026-02-01T01:34:00Z,27.726,4.398,-8.06,3193.8,0.4264,20.77,1,1
2026-02-01T01:35:00Z,28.398,4.172,18.21,3203.3,0.4184,21.13,0,0
2026-02-01T01:36:00Z,28.415,4.112,18.04,3206.1,0.4139,21.11,0,0
2026-02-01T01:37:00Z,28.403,4.096,17.81,3205.3,0.4266,20.96,0,0
2026-02-01T01:38:00Z,28.381,4.095,18.34,3207.4,0.416,21.04,0,0
2026-02-01T01:39:00Z,28.408,4.132,17.27,3195.9,0.4195,21.02,0,0
2026-02-01T01:40:00Z,28.387,4.118,18.25,3191.8,0.4242,20.84,0,0
2026-02-01T01:41:00Z,28.387,4.067,18.22,3197.8,0.4247,20.99,0,0
2026-02-01T01:42:00Z,28.435,4.08,18.75,3203.0,0.4218,21.04,0,0
