time,battery_v,bus_current_a,panel_temp_c,rw1_rpm,rw1_current_a,rw1_temp_c,heater_on,eclipse
2026-02-01T00:00:00Z,28.409,4.117,17.72,3196.4,0.4143,21.05,0,0
2026-02-01T00:01:00Z,28.39,4.103,18.34,3203.9,0.4231,20.97,0,0
2026-02-01T00:02:00Z,28.376,4.085,18.63,3202.5,0.4404,21.1,0,0
2026-02-01T00:03:00Z,28.376,4.08,18.81,3196.1,0.4216,20.85,0,0
2026-02-01T00:04:00Z,28.414,4.103,18.0,3196.3,0.4168,20.88,0,0
2026-02-01T00:05:00Z,28.366,4.125,17.92,3198.5,0.4171,20.96,0,0
2026-02-01T00:06:00Z,28.422,4.088,17.51,3200.7,0.4319,21.09,0,0
2026-02-01T00:07:00Z,28.41,4.097,18.06,3206.1,0.42,20.98,0,0
2026-02-01T00:08:00Z,28.413,4.166,17.26,3194.5,0.4277,21.18,0,0
2026-02-01T00:09:00Z,28.415,4.114,18.34,3206.0,0.4208,21.06,0,0
2026-02-01T00:10:00Z,28.374,4.128,18.08,3214.5,0.4248,21.1,0,0
2026-02-01T00:11:00Z,28.396,4.089,18.07,3200.5,0.4144,21.14,0,0
2026-02-01T00:12:00Z,28.428,4.151,18.55,3197.0,0.4315,21.13,0,0
2026-02-01T00:13:00Z,28.415,4.093,18.29,3206.6,0.4235,21.01,0,0
2026-02-01T00:14:00Z,28.39,4.112,17.36,3202.0,0.4265,20.79,0,0
2026-02-01T00:15:00Z,28.426,4.102,18.03,3203.2,0.4243,21.11,0,0
2026-02-01T00:16:00Z,28.398,4.07,18.03,3209.7,0.4237,21.34,0,0
2026-02-01T00:17:00Z,28.392,4.101,17.81,3205.1,0.4194,21.0,0,0
2026-02-01T00:18:00Z,28.409,4.109,18.9,3191.9,0.4104,20.85,0,0
2026-02-01T00:19:00Z,28.401,4.082,18.17,3195.7,0.4162,20.99,0,0
2026-02-01T00:20:00Z,28.424,4.134,18.34,3203.3,0.4254,20.89,0,0
2026-02-01T00:21:00Z,28.429,4.1,17.65,3200.9,0.4217,21.24,0,0
2026-02-01T00:22:00Z,28.446,4.14,18.07,3196.9,0.4174,21.16,0,0
2026-02-01T00:23:00Z,28.428,4.074,18.54,3202.0,0.426,20.9,0,0
2026-02-01T00:24:00Z,28.381,4.072,17.67,3194.1,0.4238,21.14,0,0
2026-02-01T00:25:00Z,28.392,4.159,17.83,3200.2,0.4308,20.71,0,0
2026-02-01T00:26:00Z,28.406,4.128,18.53,3202.5,0.4387,20.96,0,0
2026-02-01T00:27:00Z,28.419,4.118,18.12,3197.4,0.4285,21.0,0,0
2026-02-01T00:28:00Z,28.386,4.14,18.15,3201.6,0.4192,21.01,0,0
2026-02-01T00:29:00Z,28.431,4.12,17.62,3201.7,0.4149,20.96,0,0
2026-02-01T00:30:00Z,28.406,4.156,17.96,3194.9,0.4227,21.05,0,0
2026-02-01T00:31:00Z,28.408,4.141,18.06,3204.6,0.4248,21.0,0,0
2026-02-01T00:32:00Z,28.349,4.058,17.98,3204.7,0.4311,21.0,0,0
2026-02-01T00:33:00Z,28.366,4.096,17.49,3202.8,0.4313,21.11,0,0
2026-02-01T00:34:00Z,28.368,4.115,18.39,3204.5,0.4261,21.3,0,0
2026-02-01T00:35:00Z,28.426,4.077,18.03,3201.7,0.4273,21.09,0,0
2026-02-01T00:36:00Z,28.414,4.187,18.07,3198.9,0.4251,20.91,0,0
2026-02-01T00:37:00Z,28.464,4.126,17.77,3213.7,0.4199,21.32,0,0
2026-02-01T00:38:00Z,28.382,4.105,17.93,3203.0,0.4328,21.14,0,0
2026-02-01T00:39:00Z,28.393,4.083,17.9,3201.7,0.4202,21.25,0,0
2026-02-01T00:40:00Z,28.398,4.079,18.08,3193.7,0.4236,21.05,0,0
2026-02-01T00:41:00Z,28.363,4.106,17.61,3201.0,0.4287,21.02,0,0
2026-02-01T00:42:00Z,28.381,4.057,17.96,3189.7,0.4176,21.04,0,0
2026-02-01T00:43:00Z,28.401,4.057,18.17,3199.1,0.4153,21.01,0,0
2026-02-01T00:44:00Z,28.391,4.089,17.88,3201.2,0.4278,21.25,0,0
2026-02-01T00:45:00Z,28.394,4.135,18.92,3204.4,0.412,21.17,0,0
2026-02-01T00:46:00Z,28.38,4.115,17.69,3196.5,0.4273,20.93,0,0
2026-02-01T00:47:00Z,28.405,4.1,19.0,3198.5,0.4314,20.99,0,0
2026-02-01T00:48:00Z,28.355,4.108,17.81,3203.6,0.4148,21.19,0,0
2026-02-01T00:49:00Z,28.381,4.07,17.71,3204.5,0.4273,20.8,0,0
2026-02-01T00:50:00Z,28.385,4.064,18.61,3217.1,0.4312,20.83,0,0
2026-02-01T00:51:00Z,28.344,4.111,17.92,3197.1,0.4264,20.86,0,0
2026-02-01T00:52:00Z,28.441,4.062,17.66,3193.2,0.4277,21.11,0,0
2026-02-01T00:53:00Z,28.391,4.101,18.74,3190.0,0.424,21.21,0,0
2026-02-01T00:54:00Z,28.399,4.113,17.98,3188.9,0.4127,21.21,0,0
2026-02-01T00:55:00Z,28.416,4.132,18.23,3188.7,0.4295,21.27,0,0
2026-02-01T00:56:00Z,28.411,4.12,18.56,3195.0,0.4136,21.04,0,0
2026-02-01T00:57:00Z,28.389,4.121,18.44,3185.9,0.4288,21.26,0,0
2026-02-01T00:58:00Z,28.419,4.093,17.8,3190.5,0.428,21.15,0,0
2026-02-01T00:59:00Z,28.413,4.123,17.76,3195.2,0.4314,21.24,0,0
2026-02-01T01:00:00Z,28.407,4.06,17.46,3207.6,0.4225,20.99,0,0
2026-02-01T01:01:00Z,27.708,4.417,-8.67,3205.8,0.43,21.12,1,1
2026-02-01T01:02:00Z,27.714,4.438,-7.77,3201.9,0.4305,21.23,1,1
2026-02-01T01:03:00Z,27.725,4.391,-8.05,3207.1,0.4192,21.28,1,1
2026-02-01T01:04:00Z,27.682,4.381,-8.29,3197.4,0.4238,21.33,1,1
2026-02-01T01:05:00Z,27.696,4.438,-6.98,3202.1,0.4322,21.38,1,1
2026-02-01T01:06:00Z,27.724,4.392,-8.55,3203.5,0.4239,21.3,1,1
2026-02-01T01:07:00Z,27.719,4.465,-7.94,3214.2,0.436,21.19,1,1
2026-02-01T01:08:00Z,27.687,4.37,-7.73,3203.6,0.4315,21.35,1,1
2026-02-01T01:09:00Z,27.711,4.402,-7.54,3190.9,0.4282,21.14,1,1
2026-02-01T01:10:00Z,27.737,4.373,-7.58,3204.5,0.4292,21.01,1,1
2026-02-01T01:11:00Z,27.704,4.445,-8.51,3205.2,0.425,21.24,1,1
2026-02-01T01:12:00Z,27.677,4.469,-8.03,3202.3,0.427,21.15,1,1
2026-02-01T01:13:00Z,27.699,4.357,-7.68,3193.9,0.4326,20.88,1,1
2026-02-01T01:14:00Z,27.681,4.408,-8.04,3191.1,0.4328,21.31,1,1
2026-02-01T01:15:00Z,27.72,4.449,-8.36,3201.8,0.4296,20.88,1,1
2026-02-01T01:16:00Z,27.68,4.44,-8.03,3193.1,0.4295,20.99,1,1
2026-02-01T01:17:00Z,27.732,4.448,-7.83,3208.2,0.4348,21.27,1,1
2026-02-01T01:18:00Z,27.664,4.471,-7.74,3197.3,0.4194,21.27,1,1
2026-02-01T01:19:00Z,27.692,4.426,-7.62,3200.0,0.4241,20.96,1,1
2026-02-01T01:20:00Z,27.695,4.383,-7.83,3203.1,0.4278,21.24,1,1
2026-02-01T01:21:00Z,27.723,4.397,-7.95,3206.6,0.4344,21.08,1,1
2026-02-01T01:22:00Z,27.707,4.362,-8.06,3198.0,0.4375,21.12,1,1
2026-02-01T01:23:00Z,27.742,4.36,-6.9,3199.5,0.4264,21.36,1,1
2026-02-01T01:24:00Z,27.698,4.359,-7.84,3192.6,0.4207,21.01,1,1
2026-02-01T01:25:00Z,27.714,4.454,-8.77,3202.1,0.429,21.23,1,1
2026-02-01T01:26:00Z,27.673,4.381,-8.23,3198.8,0.4333,21.14,1,1
2026-02-01T01:27:00Z,27.708,4.383,-7.96,3199.0,0.4229,21.18,1,1
2026-02-01T01:28:00Z,27.747,4.397,-8.43,3190.6,0.4249,21.16,1,1
2026-02-01T01:29:00Z,27.702,4.366,-7.8,3194.9,0.4333,21.11,1,1
2026-02-01T01:30:00Z,27.727,4.45,-8.17,3202.0,0.4263,21.09,1,1
2026-02-01T01:31:00Z,27.688,4.374,-8.28,3201.3,0.4286,21.3,1,1
2026-02-01T01:32:00Z,27.696,4.401,-8.52,3199.6,0.4257,21.02,1,1
2026-02-01T01:33:00Z,27.685,4.465,-7.97,3203.9,0.433,21.33,1,1
2026-02-01T01:34:00Z,27.669,4.415,-7.37,3210.6,0.4282,21.24,1,1
2026-02-01T01:35:00Z,28.384,4.099,18.19,3199.9,0.4276,21.35,0,0
2026-02-01T01:36:00Z,28.407,4.065,18.02,3208.5,0.428,21.07,0,0
2026-02-01T01:37:00Z,28.439,4.101,17.96,3202.5,0.4283,21.01,0,0
2026-02-01T01:38:00Z,28.413,4.067,17.94,3197.0,0.4352,21.23,0,0
2026-02-01T01:39:00Z,28.435,4.065,18.35,3202.0,0.4361,21.16,0,0
2026-02-01T01:40:00Z,28.385,4.076,17.88,3199.7,0.426,21.23,0,0
2026-02-01T01:41:00Z,28.39,4.089,18.48,3195.9,0.4262,21.22,0,0
2026-02-01T01:42:00Z,28.38,4.122,18.14,3206.3,0.4287,21.53,0,0
2026-02-01T01:43:00Z,28.412,4.099,17.58,3188.2,0.4294,21.39,0,0
2026-02-01T01:44:00Z,28.345,4.139,18.04,3181.8,0.4357,21.54,0,0
2026-02-01T01:45:00Z,28.39,4.069,18.63,3188.2,0.4408,21.25,0,0
2026-02-01T01:46:00Z,28.4,4.067,18.14,3209.7,0.439,20.94,0,0
2026-02-01T01:47:00Z,28.405,4.142,18.44,3206.2,0.4363,21.26,0,0
2026-02-01T01:48:00Z,28.373,4.102,17.41,3202.8,0.4345,21.15,0,0
2026-02-01T01:49:00Z,28.408,4.073,18.18,3194.7,0.441,21.19,0,0
2026-02-01T01:50:00Z,28.399,4.162,18.15,3213.3,0.4253,21.47,0,0
2026-02-01T01:51:00Z,28.391,4.074,17.95,3203.5,0.4371,21.0,0,0
2026-02-01T01:52:00Z,28.424,4.025,18.03,3186.4,0.4373,21.35,0,0
2026-02-01T01:53:00Z,28.406,4.137,17.52,3199.6,0.4298,21.16,0,0
2026-02-01T01:54:00Z,28.451,4.086,18.09,3190.8,0.4434,21.15,0,0
2026-02-01T01:55:00Z,28.406,4.083,17.81,3195.7,0.4393,21.02,0,0
2026-02-01T01:56:00Z,28.414,4.116,17.32,3192.7,0.4368,21.26,0,0
2026-02-01T01:57:00Z,28.404,4.126,17.75,3198.8,0.451,21.37,0,0
2026-02-01T01:58:00Z,28.413,4.08,17.86,3195.9,0.4399,21.33,0,0
2026-02-01T01:59:00Z,28.397,4.034,17.75,3190.1,0.4359,21.49,0,0
2026-02-01T02:00:00Z,28.389,4.131,17.96,3203.3,0.4292,21.1,0,0
2026-02-01T02:01:00Z,28.405,4.121,18.14,3200.4,0.4397,21.33,0,0
2026-02-01T02:02:00Z,28.373,4.107,17.68,3200.4,0.4345,21.22,0,0
2026-02-01T02:03:00Z,28.405,4.11,17.97,3204.0,0.4436,21.17,0,0
2026-02-01T02:04:00Z,28.375,4.091,18.05,3207.6,0.4317,21.21,0,0
2026-02-01T02:05:00Z,28.392,4.125,17.53,3203.0,0.4214,21.29,0,0
2026-02-01T02:06:00Z,28.408,4.132,18.33,3204.1,0.4324,21.2,0,0
2026-02-01T02:07:00Z,28.417,4.054,18.47,3195.4,0.4411,20.96,0,0
2026-02-01T02:08:00Z,28.394,4.071,18.54,3193.5,0.4252,21.32,0,0
2026-02-01T02:09:00Z,28.428,4.1,17.47,3195.1,0.4435,21.24,0,0
2026-02-01T02:10:00Z,28.395,4.139,18.2,3185.8,0.4367,21.4,0,0
2026-02-01T02:11:00Z,28.398,4.094,18.02,3200.4,0.4434,21.06,0,0
2026-02-01T02:12:00Z,28.387,4.094,17.95,3202.3,0.4314,21.56,0,0
2026-02-01T02:13:00Z,28.41,4.079,17.71,3192.4,0.4401,21.58,0,0
